_ID,product_name,solution_family,product_type,parent_product,product_page_settings,linked_product_page,product_description,product_bullet_list,product_logo,white_product_logo,product_logo_endorsed,white_product_logo_endorsed,product_icon,white_product_icon,cct_author_id,cct_created,cct_modified
"31","Wild Apricot","12","active","","show","10955","Membership software that lets small-staff organizations get started for free and run their entire program from one place","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Icon-White.svg","7","2026-06-05 16:03:41","2026-06-18 12:19:02"
"30","ThreeSixty","12","active","","show","10980","Highly configurable AMS that connects membership, financials, and events in one place—adaptable enough to fit how your organization actually works","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Icon-White.svg","7","2026-06-05 15:59:19","2026-06-05 18:52:37"
"29","A2Z Events","14","active","","show","10989","Conference and trade show software to deliver better experiences for attendees, exhibitors, and sponsors, while driving more event revenue","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Icon-White.svg","7","2026-06-05 15:58:18","2026-06-05 20:19:49"
"28","YourMembershipAMS","12","active","","show","10368","All-in-one AMS for small-staff associations to manage members, build community, and grow non-dues revenue in one platform","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/YMAMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMAMS-Momentive-Logo-Color-by-MS-scaled.png","","https://momentivesoftware.com/wp-content/uploads/2025/12/YourMembership-Icon.svg","","7","2026-02-27 15:00:55","2026-06-18 15:22:32"
"27","YM Careers Network","16","active","","hide","6540","Career center platform connecting associations with members through jobs, career tools, and employer services.","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Icon-Color.svg","","7","2026-02-27 14:59:14","2026-06-05 15:51:54"
"26","YM Careers","16","active","","show","8192","Career center software to connect members with employers, earn revenue from job postings, and build your reputation in your field","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/YMCareers-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/01/YMCareers-Momentive-Logo-Color-by-MS-black.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/YMCareers-Icon-Color.svg","","7","2026-02-27 14:57:31","2026-06-05 20:15:37"
"25","VolunteerMatters","88","active","","show","10401","Volunteer management software for nonprofits and associations to recruit, engage, and retain volunteers—and scale programs without adding staff ","Array","https://momentivesoftware.com/wp-content/uploads/2025/10/VolunteerMatters-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/VolunteerMatters-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/VolunteerMatters-Icon.svg","","7","2026-02-27 14:55:29","2026-06-05 20:16:52"
"24","TripBuilder","14","orphaned","","hide","3087","Branded mobile apps for events, meetings, and member engagement.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-tripbuilder.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/TripBuilder-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/TripBuilder-Momentive-Icon-Color.svg","","7","2026-02-27 14:54:30","2026-06-05 15:52:35"
"23","Path eClinical","15","sub-product","Path LMS","hide","264","End-to-end virtual event and continuing education platform for associations and professionals.","","","","https://momentivesoftware.com/wp-content/uploads/2025/11/Path-eClinical.svg","","","","7","2026-02-27 14:53:33","2026-06-05 15:52:45"
"22","Path LMS","15","active","","show","10398","Learning management software to launch polished courses, automate CE tracking, and turn education into revenue","Array","https://momentivesoftware.com/wp-content/uploads/2025/01/PathLMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/01/PathLMS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/PathLMS-Icon.svg","","7","2026-02-27 14:52:39","2026-06-05 20:17:42"
